vendor_id,vendor_shop_name,vendor_url,vendor_category_name,vendor_image,vendor_cover_image,vendor_rating,vendor_rating_count,vendor_email,vendor_address,vendor_whatsapp,vendor_description,product_id,product_name,product_url,product_category_name,product_image,product_details,rating,rating_count,product_stock_status,product_information,product_type,vat,product_unit,product_minimum_order,product_price,kg_price,avg_weight
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",48,"1 Kwarkbol met kaneel",1-kwarkbol-met-kaneel,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-7.jpg,"1 stuk",100%,5,temp_stock,"Luchtig suikerbroodje met kaneel",ambient,9,Stuks,1,0.90,0.90,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",49,"1 Kwarkbol met rozijnen",1-kwarkbol-met-rozijnen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-8.jpg,"1 stuk",100%,2,temp_stock,"Luchtig suikerbroodje met rozijnen",ambient,9,Stuks,1,0.90,0.90,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",44,"1 Mueslibol",1-mueslibol,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-5.jpg,"1 stuk",100%,2,temp_stock,"Bruine bollen met noten en vruchten",ambient,9,Stuks,1,0.90,0.90,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",46,"1 Vijgebol",1-vijgebol,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-6.jpg,"1 stuk",100%,2,temp_stock,"Bruine bollen met vijgen krenten en sesam",ambient,9,Stuks,1,0.90,0.90,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",50,"4 Kwarkbollen met kaneel",4-kwarkbollen-met-kaneel,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-7.jpg,"4 stuks",100%,6,temp_stock,"Luchtig suikerbroodje met kaneel, per 4 verpakt",ambient,9,Stuks,1,3.00,3.00,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",51,"4 Kwarkbollen met rozijnen",4-kwarkbollen-met-rozijnen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-8.jpg,"4 stuks",100%,1,temp_stock,"Luchtig suikerbroodje met rozijnen, per 4 verpakt",ambient,9,Stuks,1,3.00,3.00,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",45,"4 Mueslibollen",4-mueslibollen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-5.jpg,"4 stuks",94%,16,temp_stock,"Bruine bollen met noten en vruchten, per 4 verpakt",ambient,9,Stuks,1,3.00,3.00,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",47,"4 Vijgebollen",4-vijgebollen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2-6.jpg,"4 stuks",100%,1,temp_stock,"Bruine bollen met vijgen krenten en sesam, per 4 verpakt",ambient,9,Stuks,1,3.00,3.00,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",104,"6 Bruine bollen",6-bruine-bollen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Straathof-90.jpg,"6 stuks",97%,32,temp_stock,"6 stuks",ambient,9,Stuks,1,2.00,2.00,0.00
92,"Bakkerij Straathof",bakkerij-straathof,"Brood en gebak",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/straathof-1.jpg,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/users/Straathof12.jpg,98%,1485,jolanda@bakkerijstraathof.nl,"Ten Katemarkt",0638975635,"De fijnste en gezelligste bakkerij van de Ten Katemarkt. Alle broden zijn ambachtelijk gebakken!",103,"6 Bruine krentenbollen",6-bruine-krentenbollen,Bollen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Straathof-89.jpg,"6 stuks",100%,29,temp_stock,"6 stuks",ambient,9,Stuks,1,2.70,2.70,0.00
